msisdn,gender,year_of_birth,system_status,mobile_type,value_segment
aeef4233d9ad34e41f7ecf48d64646f8,MALE,1985,ACTIVE,Prepaid,Tier_3
2397d009e705bc8a2654cbb3f480cc59,MALE,1958,ACTIVE,Prepaid,Tier_3
6f05d738919f9283322bae17dc366bf5,MALE,1976,ACTIVE,Prepaid,Tier_3
45352d9d126f86f40c7eee79a82c833c,MALE,1996,ACTIVE,Prepaid,Tier_3
959b00a279e2785cfa81728338c324f7,FEMALE,1960,ACTIVE,Prepaid,Tier_3
b74761390712bde1309ac38b46d59df8,,1994,ACTIVE,Prepaid,Tier_3
b74761390712bde1309ac38b46d59df8,Male,1994,ACTIVE,Prepaid,Tier_3
1311649d0d7ffeb132cfaf6a0233483e,Male,1992,ACTIVE,Prepaid,Tier_3
8e6e340aa4b1a449305da80327f4e6ff,MALE,1963,ACTIVE,Prepaid,Tier_3
fc91bb6f212bf1aca7f30acb5a8f1d16,Male,1978,ACTIVE,Postpaid,Tier_3
32d4f8f1e7193e334981a42bb0ccf53b,,1969,SUSPEND,Prepaid,Tier_3
32d4f8f1e7193e334981a42bb0ccf53b,,1969,ACTIVE,Prepaid,Tier_3
e78cfd27d4cfd96c79884afdf309f497,Male,1981,ACTIVE,Prepaid,Tier_3
85f7a8d1f148f0b39f7c4562e7b998f4,Female,1997,ACTIVE,Prepaid,Tier_3
b39acd5449bca8d95204109d518e8cc2,Not Available,1984,ACTIVE,Prepaid,Tier_3
97f6c64c2d96290139486fff28598be4,MALE,1980,ACTIVE,Prepaid,Tier_3
977c0be0c7328349766d71ddf60811e1,Male,1990,ACTIVE,Prepaid,Tier_3
a42414ffaec5e15db36c2ec5dc4e087a,,1987,ACTIVE,Prepaid,Tier_3
96ede641cd514263807c4d01e522685a,Male,1977,ACTIVE,Prepaid,Tier_3
1ed1e0ec812ea3a7626cc7509db26af8,MALE,1987,ACTIVE,Prepaid,Tier_3
72841037ec3b38e621bd19e72c79c6c3,MALE,1986,ACTIVE,Prepaid,Tier_3
1a6263ca38a94a288bd054118bdff351,MALE,1976,ACTIVE,Prepaid,Tier_3
9f55aa1da704a736cb0d4f87663b313c,Not Available,1987,ACTIVE,Prepaid,Tier_3
e5998175b18fc857561776b44c71ac45,Male,1991,ACTIVE,Prepaid,Tier_3
fed91d4772a756e15b78fefb07dce402,MALE,1993,ACTIVE,Prepaid,Tier_3
bdf3a4ae49dab39db55ab184aa6bbe5e,Not Available,1962,ACTIVE,Prepaid,Tier_3
61aa493dbabbfd7aad173638e67e5714,Male,1968,ACTIVE,Prepaid,Tier_3
4093173e1d67da5333e4a33b12791ebb,Male,1994,ACTIVE,Prepaid,Tier_3
e6b197f41efc4598e48bb56bbd8fef43,Not Available,1972,ACTIVE,Prepaid,Tier_3
709a3c2e4584641ef5824e8d84c6c9e4,,1994,ACTIVE,Prepaid,Tier_3
fab90a4ff581977be4383188cff0df4f,,1983,ACTIVE,Postpaid,Tier_3
614b568bddcdb82d4325a37b0992cd12,MALE,1988,ACTIVE,Prepaid,Tier_3
e7ca68ec52e4181d64df75c7a71ab8b3,Male,1993,ACTIVE,Prepaid,Tier_3
8e7eb419f77bfeecc88f2f5b4a856248,Male,1996,ACTIVE,Prepaid,Tier_3
7c1430a9ef1f1b8a6a0b4cca7f2ca155,Not Available,1975,ACTIVE,Prepaid,Tier_3
be92110aae3feedd5fb5cc6cd42b2d16,Not Available,1971,ACTIVE,Prepaid,Tier_3
c575a9c7db8eb808049f4a9a7a8343a0,Not Available,1974,ACTIVE,Prepaid,Tier_3
0f8f890dd8ce5df9d36b0254bdd90878,Male,1999,ACTIVE,Prepaid,Tier_3
2436e4cb6aeed4859d54ca997085a994,Male,1991,ACTIVE,Prepaid,Tier_3
5938bc4ce61fefdda9377c5638dc58c9,Male,1977,ACTIVE,Prepaid,Tier_3
b0fcc909dfce5bb62a7eccccb563d6b6,Male,1994,ACTIVE,Prepaid,Tier_3
5527bb6919deb128d3e4d223938712b7,,1954,ACTIVE,Prepaid,Tier_3
0655252e4937543a4d78739315141fc6,Male,1963,ACTIVE,Prepaid,Tier_3
5d22645fb1ec77288613bc7f6793deb6,MALE,1984,ACTIVE,Prepaid,Tier_3
e3f0a8e70e1e250223db14275790d347,Not Available,1976,ACTIVE,Prepaid,Tier_3
c0cff92dd6664fc9259c5f192a88cccb,Not Available,1996,ACTIVE,Prepaid,Tier_3
e910369c17fecc0653ff9bcb33975f1d,Not Available,1990,ACTIVE,Prepaid,Tier_3
68f1b69e0a6fc12401edb9bc41534fe4,Not Available,1967,ACTIVE,Prepaid,Tier_3
801eff7b405789d972d278a0e86c8698,MALE,1987,ACTIVE,Prepaid,Tier_3
b5987cf147872018665fa4f44bf9b947,,1974,ACTIVE,Postpaid,Tier_3
888988c835d1f1e3aa9d2239ef92915e,MALE,1990,ACTIVE,Prepaid,Tier_3
b77d42a33326a765daa5023ecb6b9276,Male,1993,ACTIVE,Prepaid,Tier_3
d7e02833e17b8e2f241accb337cac0bb,MALE,1981,ACTIVE,Prepaid,Tier_3
4b20a5d74aad096bea3f856af092b014,,1988,ACTIVE,Prepaid,Tier_3
3a889792f57b3b89f96effeb2506f412,MALE,1993,ACTIVE,Prepaid,Tier_3
deaf7db6c1196b6fcf65a2cd0e7371ef,MALE,1989,ACTIVE,Prepaid,Tier_3
60d7616e49dcdcebb288d2e835307201,,1980,ACTIVE,Prepaid,Tier_3
e1a2667a5474d8e15053e2c03ccee4cf,Male,1993,ACTIVE,Prepaid,Tier_3
f35ba0ad6d9b59393f1f711a32e0eea4,FEMALE,1989,ACTIVE,Prepaid,Tier_3
140ccc3d81433b5248435a9d32c06710,Male,1993,ACTIVE,Prepaid,Tier_3
c3a4357d6914170dbb461d0a59e92609,Not Available,1982,ACTIVE,Prepaid,Tier_3
7bc5a6db518949e6221a3943777806d6,Not Available,1982,ACTIVE,Prepaid,Tier_3
3e42094610019590a623b912ceaf0eb8,Male,1982,ACTIVE,Prepaid,Tier_3
ae3ed04dedf084b3940535d90dd4dbb7,MALE,1981,ACTIVE,Prepaid,Tier_3
efdfafad0712198bc1b9c387df41aece,Male,1994,ACTIVE,Prepaid,Tier_3
4f5216988c44ec0a96a82a04f28b49fa,Male,1988,ACTIVE,Prepaid,Tier_3
e224f8a260f6117d1a3b6b7b70db8625,Male,1997,ACTIVE,Prepaid,Tier_3
7384f860335e56d83718dc1d4003dd3e,Male,1970,ACTIVE,Prepaid,Tier_3
c077568fd1eb157dde62c68c7b3e359e,,1985,ACTIVE,Postpaid,Tier_3
53bc00849c7a7851e18fe4ef8c641ee6,Male,1992,ACTIVE,Prepaid,Tier_3
07263c34ded4a8d348c0c1dd848f7ad6,Male,1979,ACTIVE,Prepaid,Tier_3
d424eef015f6084be726176d46c696cd,Not Available,1988,ACTIVE,Prepaid,Tier_3
a36f9fe2a0de3b5d3fc2290fa695b3c7,,1978,ACTIVE,Prepaid,Tier_3
4457cfd070a03029222762f7d2b3c3e8,Male,1991,ACTIVE,Prepaid,Tier_3
a27e122c2ea4094e5d23afd3826cdf22,,1994,ACTIVE,Prepaid,Tier_3
6accce63c607d10bcfb416e9b8790daa,Not Available,1987,ACTIVE,Prepaid,Tier_3
e4be01903d5d6b0126db36707e310a2a,Not Available,1992,ACTIVE,Prepaid,Tier_3
4ace0e72069531042bade2b17a6742e8,MALE,1984,ACTIVE,Prepaid,Tier_3
9e98f963e57c08d3f6e3ff7767f44ada,Not Available,1985,ACTIVE,Prepaid,Tier_3
d6a0c18db627eb09bbe60596829a9cc3,Male,1981,ACTIVE,Prepaid,Tier_3
7eeb945da2640eaaf2a6c9745e38cf8c,Not Available,1975,ACTIVE,Prepaid,Tier_3
1f5b374c9bb8e6f772fcce75d503f13b,,1959,ACTIVE,Prepaid,Tier_3
bacacc3981ba87086a9775a91800bbef,MALE,1985,ACTIVE,Prepaid,Tier_3
412519a1e89586ddf1454fb47da37b18,Female,1989,ACTIVE,Prepaid,Tier_3
93db50cb3f2caf955127d4d9f335519a,Not Available,1991,ACTIVE,Prepaid,Tier_3
cd89cfd72090b32c4d82e19fc9a3f489,Male,1992,ACTIVE,Prepaid,Tier_3
8b3eac8365b8ab73bdad7279d392f503,Not Available,1988,ACTIVE,Prepaid,Tier_3
a83d9c0efe9f4f7e74c78f66c97d6ac1,Not Available,1962,ACTIVE,Prepaid,Tier_3
1dafb65c4827c38bddafcad7bc06be0f,Male,1979,ACTIVE,Prepaid,Tier_3
