msisdn,week_number,revenue_usd
66e94d24d8e0d5776a8a6b694782eff0,26,20.26562143
66e94d24d8e0d5776a8a6b694782eff0,34,5.361164473
66e94d24d8e0d5776a8a6b694782eff0,31,18.18134693
66e94d24d8e0d5776a8a6b694782eff0,35,16.85739089
66e94d24d8e0d5776a8a6b694782eff0,24,14.39232646
66e94d24d8e0d5776a8a6b694782eff0,22,1.889851405
66e94d24d8e0d5776a8a6b694782eff0,27,17.4571458
66e94d24d8e0d5776a8a6b694782eff0,28,16.29990814
66e94d24d8e0d5776a8a6b694782eff0,29,19.35813449
9f66945ccec02b2e7ff2de0e22b38b7a,34,13.37840009
9f66945ccec02b2e7ff2de0e22b38b7a,24,12.26847882
9f66945ccec02b2e7ff2de0e22b38b7a,29,7.643881017
9f66945ccec02b2e7ff2de0e22b38b7a,30,0.842231657
9f66945ccec02b2e7ff2de0e22b38b7a,35,7.934780607
9f66945ccec02b2e7ff2de0e22b38b7a,32,9.283707593
9f66945ccec02b2e7ff2de0e22b38b7a,23,16.53767018
9f66945ccec02b2e7ff2de0e22b38b7a,26,8.165837097
9f66945ccec02b2e7ff2de0e22b38b7a,31,8.761768397
9f66945ccec02b2e7ff2de0e22b38b7a,33,12.81483894
9f66945ccec02b2e7ff2de0e22b38b7a,27,3.310058183
9f66945ccec02b2e7ff2de0e22b38b7a,28,8.004812774
9f66945ccec02b2e7ff2de0e22b38b7a,25,12.90459702
9f66945ccec02b2e7ff2de0e22b38b7a,22,16.22782728
b336fabfbaca753191acfbab598bac4a,30,1.172815739
b336fabfbaca753191acfbab598bac4a,25,2.274132439
b336fabfbaca753191acfbab598bac4a,32,4.99365478
b336fabfbaca753191acfbab598bac4a,34,7.267656744
b336fabfbaca753191acfbab598bac4a,33,14.64564816
b336fabfbaca753191acfbab598bac4a,23,2.10674176
b336fabfbaca753191acfbab598bac4a,35,10.26254833
b336fabfbaca753191acfbab598bac4a,24,2.502230074
b336fabfbaca753191acfbab598bac4a,29,16.17036781
b336fabfbaca753191acfbab598bac4a,22,14.08363244
b336fabfbaca753191acfbab598bac4a,28,4.787041122
b336fabfbaca753191acfbab598bac4a,26,17.88047632
b336fabfbaca753191acfbab598bac4a,31,6.758136358
b336fabfbaca753191acfbab598bac4a,27,4.455624836
72299fe9fadae5936214a05b1cf5d2bf,24,7.792320753
72299fe9fadae5936214a05b1cf5d2bf,25,15.84655946
72299fe9fadae5936214a05b1cf5d2bf,35,9.12249243
72299fe9fadae5936214a05b1cf5d2bf,32,17.49345018
72299fe9fadae5936214a05b1cf5d2bf,33,7.331033219
72299fe9fadae5936214a05b1cf5d2bf,23,11.25686797
72299fe9fadae5936214a05b1cf5d2bf,34,3.863681884
72299fe9fadae5936214a05b1cf5d2bf,27,8.289538176
72299fe9fadae5936214a05b1cf5d2bf,28,3.808495022
72299fe9fadae5936214a05b1cf5d2bf,30,16.08764783
72299fe9fadae5936214a05b1cf5d2bf,31,4.082829357
72299fe9fadae5936214a05b1cf5d2bf,22,13.20572094
72299fe9fadae5936214a05b1cf5d2bf,29,3.449112616
9bae303000cfae66652603e1a8c11477,24,2.019129103
9bae303000cfae66652603e1a8c11477,25,1.3323364
9bae303000cfae66652603e1a8c11477,32,13.40280301
9bae303000cfae66652603e1a8c11477,34,20.36956614
9bae303000cfae66652603e1a8c11477,33,20.11605451
9bae303000cfae66652603e1a8c11477,23,14.70468864
9bae303000cfae66652603e1a8c11477,26,9.396533504
9bae303000cfae66652603e1a8c11477,31,12.21342013
9bae303000cfae66652603e1a8c11477,35,11.61409041
9bae303000cfae66652603e1a8c11477,27,4.580532195
9bae303000cfae66652603e1a8c11477,30,5.353901539
9bae303000cfae66652603e1a8c11477,28,7.714217658
9bae303000cfae66652603e1a8c11477,22,2.591618071
9bae303000cfae66652603e1a8c11477,29,11.94532864
5cf6d17615cdca5cdb12a053306e3192,24,2.279143261
5cf6d17615cdca5cdb12a053306e3192,29,2.282814305
5cf6d17615cdca5cdb12a053306e3192,23,2.718403625
5cf6d17615cdca5cdb12a053306e3192,34,8.476299963
5cf6d17615cdca5cdb12a053306e3192,35,6.880104263
5cf6d17615cdca5cdb12a053306e3192,32,18.54812805
5cf6d17615cdca5cdb12a053306e3192,26,8.981879213
5cf6d17615cdca5cdb12a053306e3192,33,14.72022901
5cf6d17615cdca5cdb12a053306e3192,27,13.38318318
5cf6d17615cdca5cdb12a053306e3192,31,17.77910426
5cf6d17615cdca5cdb12a053306e3192,30,7.959181654
5cf6d17615cdca5cdb12a053306e3192,25,17.63950602
5cf6d17615cdca5cdb12a053306e3192,28,8.542277528
5cf6d17615cdca5cdb12a053306e3192,22,8.909220951
4ba275a04b9e1c7202760b00a2c8f5d7,24,20.00266773
4ba275a04b9e1c7202760b00a2c8f5d7,32,8.519302405
4ba275a04b9e1c7202760b00a2c8f5d7,35,18.77965998
4ba275a04b9e1c7202760b00a2c8f5d7,34,2.376511905
4ba275a04b9e1c7202760b00a2c8f5d7,23,6.779611927
4ba275a04b9e1c7202760b00a2c8f5d7,33,7.353217222
4ba275a04b9e1c7202760b00a2c8f5d7,27,9.350734169
4ba275a04b9e1c7202760b00a2c8f5d7,29,19.01497918
4ba275a04b9e1c7202760b00a2c8f5d7,31,4.703188371
4ba275a04b9e1c7202760b00a2c8f5d7,26,5.607227088
4ba275a04b9e1c7202760b00a2c8f5d7,28,6.843009797
4ba275a04b9e1c7202760b00a2c8f5d7,22,4.552665905
4ba275a04b9e1c7202760b00a2c8f5d7,25,14.00032035
a8a663a0260ee70d81ac793ac78bd332,30,2.739775201
a8a663a0260ee70d81ac793ac78bd332,32,9.968075582
a8a663a0260ee70d81ac793ac78bd332,33,1.62242719
a8a663a0260ee70d81ac793ac78bd332,23,2.356425571
a8a663a0260ee70d81ac793ac78bd332,34,3.22755402
a8a663a0260ee70d81ac793ac78bd332,35,19.98255978
a8a663a0260ee70d81ac793ac78bd332,27,12.81282602
a8a663a0260ee70d81ac793ac78bd332,28,3.121562328
a8a663a0260ee70d81ac793ac78bd332,31,16.65774024
a8a663a0260ee70d81ac793ac78bd332,26,6.339462724
a8a663a0260ee70d81ac793ac78bd332,25,7.448145514
a8a663a0260ee70d81ac793ac78bd332,29,0.87013448
a8a663a0260ee70d81ac793ac78bd332,24,15.11923229
a8a663a0260ee70d81ac793ac78bd332,22,10.50160938
97a1f49d9998b48187ad0098c79bd5d6,24,17.37315209
97a1f49d9998b48187ad0098c79bd5d6,29,19.77496529
97a1f49d9998b48187ad0098c79bd5d6,34,14.13942346
97a1f49d9998b48187ad0098c79bd5d6,35,18.7756661
97a1f49d9998b48187ad0098c79bd5d6,32,11.49144031
97a1f49d9998b48187ad0098c79bd5d6,33,20.25039457
97a1f49d9998b48187ad0098c79bd5d6,23,17.57589711
97a1f49d9998b48187ad0098c79bd5d6,26,18.78919092
97a1f49d9998b48187ad0098c79bd5d6,27,14.77949878
97a1f49d9998b48187ad0098c79bd5d6,28,2.242018289
97a1f49d9998b48187ad0098c79bd5d6,30,19.55679382
97a1f49d9998b48187ad0098c79bd5d6,31,18.54362725
97a1f49d9998b48187ad0098c79bd5d6,25,6.254004594
97a1f49d9998b48187ad0098c79bd5d6,22,6.68790329
b762fe242bbdfb073e24d9ebbc196450,32,10.03081155
b762fe242bbdfb073e24d9ebbc196450,33,15.73396593
b762fe242bbdfb073e24d9ebbc196450,23,5.869602758
b762fe242bbdfb073e24d9ebbc196450,24,3.640359239
b762fe242bbdfb073e24d9ebbc196450,34,8.135146614
b762fe242bbdfb073e24d9ebbc196450,35,8.244988216
b762fe242bbdfb073e24d9ebbc196450,30,18.55303314
b762fe242bbdfb073e24d9ebbc196450,31,14.27609471
41d6a526bd4c434cbced3ef1183382b7,30,5.70676455
41d6a526bd4c434cbced3ef1183382b7,23,13.3364654
41d6a526bd4c434cbced3ef1183382b7,29,19.49379243
41d6a526bd4c434cbced3ef1183382b7,32,4.15069606
41d6a526bd4c434cbced3ef1183382b7,34,3.824210365
41d6a526bd4c434cbced3ef1183382b7,26,13.61571772
41d6a526bd4c434cbced3ef1183382b7,35,21.29039774
41d6a526bd4c434cbced3ef1183382b7,33,11.88806774
41d6a526bd4c434cbced3ef1183382b7,24,17.88768577
41d6a526bd4c434cbced3ef1183382b7,27,0.894752143
41d6a526bd4c434cbced3ef1183382b7,31,15.86072668
41d6a526bd4c434cbced3ef1183382b7,25,5.813220388
41d6a526bd4c434cbced3ef1183382b7,28,18.38642954
41d6a526bd4c434cbced3ef1183382b7,22,6.38617032
45c040069e17dc39a4232ebb7a46f0c0,30,4.58488372
45c040069e17dc39a4232ebb7a46f0c0,32,12.8253054
45c040069e17dc39a4232ebb7a46f0c0,34,20.31669756
45c040069e17dc39a4232ebb7a46f0c0,33,16.53083345
45c040069e17dc39a4232ebb7a46f0c0,23,9.397113581
45c040069e17dc39a4232ebb7a46f0c0,26,9.803411214
45c040069e17dc39a4232ebb7a46f0c0,27,13.42851219
45c040069e17dc39a4232ebb7a46f0c0,29,1.982048905
45c040069e17dc39a4232ebb7a46f0c0,24,8.323192447
45c040069e17dc39a4232ebb7a46f0c0,35,6.276765367
45c040069e17dc39a4232ebb7a46f0c0,28,8.566840215
45c040069e17dc39a4232ebb7a46f0c0,31,4.340511687
45c040069e17dc39a4232ebb7a46f0c0,22,18.8783054
45c040069e17dc39a4232ebb7a46f0c0,25,19.71116875
ef5aa61c4fbc3020c8f12d9fa0cb635f,34,14.29416969
ef5aa61c4fbc3020c8f12d9fa0cb635f,24,15.42597584
ef5aa61c4fbc3020c8f12d9fa0cb635f,25,16.19076446
ef5aa61c4fbc3020c8f12d9fa0cb635f,30,16.82547246
ef5aa61c4fbc3020c8f12d9fa0cb635f,23,14.06856717
ef5aa61c4fbc3020c8f12d9fa0cb635f,35,13.90980106
ef5aa61c4fbc3020c8f12d9fa0cb635f,32,6.838199028
ef5aa61c4fbc3020c8f12d9fa0cb635f,33,11.03461254
ef5aa61c4fbc3020c8f12d9fa0cb635f,27,13.01244285
ef5aa61c4fbc3020c8f12d9fa0cb635f,29,17.69781234
ef5aa61c4fbc3020c8f12d9fa0cb635f,26,3.769858043
ef5aa61c4fbc3020c8f12d9fa0cb635f,31,18.3027693
ef5aa61c4fbc3020c8f12d9fa0cb635f,28,15.50733996
ef5aa61c4fbc3020c8f12d9fa0cb635f,22,19.77150354
c94abf1017c9f6151209e84ad944290d,34,13.8705949
c94abf1017c9f6151209e84ad944290d,24,7.727667579
c94abf1017c9f6151209e84ad944290d,23,20.70157106
c94abf1017c9f6151209e84ad944290d,29,5.798741301
c94abf1017c9f6151209e84ad944290d,30,13.04436053
c94abf1017c9f6151209e84ad944290d,25,9.195820198
c94abf1017c9f6151209e84ad944290d,32,14.38864446
c94abf1017c9f6151209e84ad944290d,35,8.147826601
c94abf1017c9f6151209e84ad944290d,33,7.898899651
c94abf1017c9f6151209e84ad944290d,31,7.152336947
c94abf1017c9f6151209e84ad944290d,27,2.396381084
c94abf1017c9f6151209e84ad944290d,26,16.777101
c94abf1017c9f6151209e84ad944290d,22,15.57258831
f7598291bec1fc54928ee7ea8501a29b,32,9.424132057
f7598291bec1fc54928ee7ea8501a29b,26,8.7996933
f7598291bec1fc54928ee7ea8501a29b,34,7.533338188
f7598291bec1fc54928ee7ea8501a29b,35,16.7546818
